	CO	PVs	CO2	PV	CH4	H2O	f_Bilger	chi	O2	H2	T	r_in_m
22631	0.00493773	2.00335	0.124003	9.52482	0.00016783099999999999	0.105628	0.048622000000000005	0.0	0.0326064	0.000263924	2049.75	0.00808049506004428
24850	0.051809	160.888	0.0167974	6.49333	0.0726958	0.0760123	0.12369000000000001	0.0	0.09757460000000001	0.00618275	1117.22	0.0025496356401393905
37609	0.030532599999999997	50.1246	0.00982107	4.26806	0.0911473	0.051548300000000005	0.124071	0.0	0.138132	0.00493055	872.6669999999999	0.004373361470359957
41405	0.021815599999999997	1.8204900000000002	0.123445	10.5692	0.00035088599999999996	0.12171900000000001	0.0584649	0.0	0.0069994	0.000884511	2166.52	0.007328287811736177
18407	0.0173384	1.52512	0.128465	10.5125	0.000199912	0.12171099999999999	0.05739930000000001	0.0	0.00591806	0.000646235	2192.49	0.0071671119899231394
1874	0.0179322	1.685	0.00519328	2.47242	0.225396	0.0309848	0.24717600000000003	0.0	0.13755599999999998	0.00427268	606.802	0.0021675508811842825
4040	0.0389772	10.1694	0.11016199999999998	10.943	0.00016727400000000003	0.125781	0.06305	0.0	0.00209335	0.00158922	2131.46	0.004588237218933215
10067	0.00129181	1.4900799999999998	0.0866306	6.73584	3.66855e-05	0.0724313	0.032622500000000006	0.0	0.09631410000000001	7.46745e-05	1595.24	0.009161601658721088
4925	0.05189880000000001	265.911	0.094823	11.1842	0.00133388	0.12232699999999999	0.06720010000000001	0.0	0.007929	0.00267844	2006.4	0.0053941387034910394
33856	0.034647000000000004	16.1685	0.112876	10.8295	0.000290089	0.124373	0.061809699999999995	0.0	0.00387848	0.00138757	2131.63	0.00668357397871079
19071	0.0235889	9.47701	0.12074800000000001	10.5448	0.000437906	0.120986	0.0586559	0.0	0.00822304	0.000963909	2144.71	0.00668357062187391
24885	0.00316756	1.93672	0.101069	7.9853	0.000109029	0.0856854	0.039133499999999995	0.0	0.0711985	0.000188205	1778.36	0.008456552028066758
35328	0.0396587	12.14	0.0125659	5.02727	0.115273	0.06001889999999999	0.156756	0.0	0.114801	0.00584997	922.2869999999999	0.003695461486106978
17531	0.0839468	301.262	0.0596665	11.6164	0.00610736	0.127244	0.0846921	0.0	0.00712803	0.00554357	1824.66	0.005823980800517804
7018	0.0108387	0.0374661	0.00258961	1.58378	0.149425	0.0206452	0.164437	0.0	0.17155399999999998	0.00405151	511.083	0.003275678515254511
28703	0.011746	0.000230221	0.00306468	1.68592	0.21459299999999998	0.0217175	0.230485	0.0	0.154278	0.00389836	502.62199999999996	0.002095981582923858
4212	0.0761981	2090.56	0.0344921	9.79359	0.0232628	0.110608	0.0933713	0.0	0.0441311	0.00579462	1551.35	0.004534540321788417
7101	0.013229300000000001	2.4287400000000003	0.12334500000000001	10.0529	0.000493924	0.112571	0.0538504	0.0	0.020825299999999998	0.000697473	2090.1	0.007650649289942651
43451	0.06804960000000002	22.3875	0.0862552	11.5052	0.000560847	0.12576700000000002	0.07186160000000001	0.0	0.00202203	0.00386112	2014.47	0.005716492516569929
25684	0.083675	831.497	0.055695400000000006	11.4001	0.0061607	0.126091	0.0829102	0.0	0.011480200000000001	0.00530895	1807.83	0.0046957243630456
5767	0.00364337	2.34365e-07	0.000711328	0.577036	0.24649699999999997	0.00781216	0.25308	0.0	0.165689	0.00271444	350.798	0.0031019627238250296
20617	0.0122194	0.00023170900000000003	0.00322253	1.7461200000000001	0.216381	0.022438200000000002	0.23275300000000002	0.0	0.15278	0.00393522	510.14	0.0045882372452282815
15881	0.00155507	1.15307	0.0738848	5.9202900000000005	3.81142e-05	0.0620125	0.0280515	0.0	0.115753	8.77517e-05	1425.13	0.009584613657993731
3656	0.0477148	144.80700000000002	0.0153981	6.1044	0.0716512	0.07206599999999999	0.11916600000000001	0.0	0.105977	0.00592351	1084.22	0.004695729074318492
15370	0.00161843	1.64135	0.09161760000000001	7.2123	4.88765e-05	0.07677869999999999	0.0346646	0.0	0.0881207	9.446610000000001e-05	1658.51	0.009027630443142266
38064	0.000845359	0.6964130000000001	0.055594000000000005	4.44376	1.63957e-05	0.0461133	0.0207883	0.0	0.14541500000000002	4.59633e-05	1154.99	0.009921945746475336
41985	1.5131600000000001e-05	0.0747403	0.00482929	0.37103400000000003	1.55058e-07	0.00395315	0.0017256	0.0	0.22548	7.456570000000001e-07	374.477	0.011276120335421223
43010	0.0748071	179.229	0.07927139999999999	11.578	0.00142562	0.124358	0.0751161	0.0	0.00352064	0.00462527	1952.61	0.007005927769146639
43224	0.0746632	2469.11	0.042173199999999994	10.5842	0.0505764	0.10643699999999999	0.12128599999999999	0.0	0.0351861	0.00565838	1499.27	0.004856910117348272
17107	0.00262865	1.91713	0.10389300000000001	8.252289999999999	9.11617e-05	0.08752589999999999	0.0398141	0.0	0.0676164	0.000155895	1810.27	0.00910877232859072
14322	0.0434402	3.27483	0.014828299999999999	5.38287	0.136248	0.0634629	0.181345	0.0	0.101382	0.00598036	929.1669999999999	0.0033137092781541657
23227	0.0124069	1.74783	0.130051	10.3295	0.00025251099999999997	0.117868	0.0552741	0.0	0.011234200000000001	0.000517575	2168.61	0.007005930082394556
40728	0.055892	465.41900000000004	0.019681	7.11401	0.0611361	0.08244560000000001	0.11537	0.0	0.0889063	0.00599527	1202.53	0.004104693247229201
19223	0.017904	1.46993	0.128371	10.5568	0.000178973	0.122253	0.057642599999999995	0.0	0.00515834	0.00065384	2196.76	0.006683571157285602
3118	0.0677067	1182.18	0.067427	11.2969	0.00718804	0.11919500000000001	0.07734830000000001	0.0	0.0186922	0.00420908	1813.22	0.006361212837847826
5340	0.041886599999999996	150.634	0.100469	10.8945	0.00135375	0.119548	0.0635733	0.0	0.012179899999999999	0.00203153	2012.01	0.007274602367634948
10879	0.00148532	1.41157	0.0831047	6.643210000000001	4.06191e-05	0.0696708	0.0314421	0.0	0.101499	8.5369e-05	1549.7	0.009546434935791477
